Numéro d'école;Latitude;Longitude;
0420326B;46.0345572;4.0729178;Roanne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42300, France
0420377G;45.4348987;4.3212622;Roche-la-Molière, Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42230, France
0420652F;45.4401467;4.3873058;Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, France
0670207L;48.2422436;7.3799809;Orschwiller, Sélestat-Erstein, Bas-Rhin, Grand Est, France métropolitaine, 67600, France
0670220A;48.5425109;7.7102193;Ostwald, Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, 67540, France
0670292D;48.584614;7.7507127;Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, France
0670364G;48.9012785;7.9757435;Hatten, Haguenau-Wissembourg, Bas-Rhin, Grand Est, France métropolitaine, 67690, France
0671099F;48.71944845;7.58331394234607;Gingsheim, Wingersheim les Quatre Bans, Saverne, Bas-Rhin, Grand Est, France métropolitaine, 67270, France
0420961S;46.0205;4.09203;Le Coteau, Roanne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42120, France
0421190R;46.0345572;4.0729178;Roanne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42300, France
0421472X;45.4401467;4.3873058;Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, France
0421529J;45.4401467;4.3873058;Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, France
0421988H;45.4401467;4.3873058;Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, France
0830730T;43.1007714;5.8788948;La Seyne-sur-Mer, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83500, France
0671470J;48.9404465;7.0899329;Sarre-Union, Saverne, Bas-Rhin, Grand Est, France métropolitaine, 67260, France
0671521P;48.9894363;8.0441146;Schleithal, Haguenau-Wissembourg, Bas-Rhin, Grand Est, France métropolitaine, 67160, France
0480362H;44.1998;3.92277;Saint-Martin-de-Boubaux, Florac, Lozère, Occitanie, France métropolitaine, 48160, France
0311118X;43.4599858;1.3262332;Muret, Haute-Garonne, Occitanie, France métropolitaine, 31600, France
0490099S;47.4739884;-0.5515588;Angers, Maine-et-Loire, Pays de la Loire, France métropolitaine, France
0890470C;48.0201831;3.8050892;Beugnon, Auxerre, Yonne, Bourgogne-Franche-Comté, France métropolitaine, 89570, France
0890993W;47.9411544;3.1309538;Villefranche, Auxerre, Yonne, Bourgogne-Franche-Comté, France métropolitaine, 89120, France
0891081S;47.7741815;3.7546243;Courgis, Auxerre, Yonne, Bourgogne-Franche-Comté, France métropolitaine, 89800, France
0891294Y;47.8634136;3.7279379;Lignorelles, Auxerre, Yonne, Bourgogne-Franche-Comté, France métropolitaine, 89800, France
0900055W;47.7179803;6.9690806;Romagny-sous-Rougemont, Belfort, Territoire-de-Belfort, Bourgogne-Franche-Comté, France métropolitaine, 90110, France
0900095P;47.7418553;6.8251787;Giromagny, Belfort, Territoire-de-Belfort, Bourgogne-Franche-Comté, France métropolitaine, 90200, France
0490989J;47.05249335;-0.878211254509414;Cholet, Maine-et-Loire, Pays de la Loire, France métropolitaine, 49300, France
0681782T;48.0777517;7.3579641;Colmar, Colmar-Ribeauvillé, Haut-Rhin, Grand Est, France métropolitaine, 68000, France
0332316N;44.8931452;-0.1560662;Saint-Émilion, Libourne, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33330, France
0332763Z;44.9259011;-0.4881846;Ambarès-et-Lagrave, Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33440, France
0911135P;48.4824089;2.3476234;La Ferté-Alais, Étampes, Essonne, Île-de-France, France métropolitaine, 91590, France
0020597N;49.9216667;3.4030556;Croix-Fonsomme, Saint-Quentin, Aisne, Hauts-de-France, France métropolitaine, 02110, France
0020868H;49.8486111;3.2863888;Saint-Quentin, Aisne, Hauts-de-France, France métropolitaine, 02100, France
0311650A;43.6828953;1.31799;Aussonne, Toulouse, Haute-Garonne, Occitanie, France métropolitaine, 31840, France
0320158Y;43.3525;0.5125;Monlaur-Bernet, Mirande, Gers, Occitanie, France métropolitaine, 32140, France
0320307K;43.6520371776118;-0.108233505206338;Riscle, Occitanie, France métropolitaine, 32400, France
0320317W;43.4613889;0.2158333;Troncens, Mirande, Gers, Occitanie, France métropolitaine, 32230, France
0320462D;43.9727778;0.4577778;Castelnau-sur-l'Auvignon, Condom, Gers, Occitanie, France métropolitaine, 32100, France
0320611R;43.5479869;0.2945111;Pouylebon, Mirande, Gers, Occitanie, France métropolitaine, 32320, France
0301529Z;43.8629;4.45426;Marguerittes, Nîmes, Gard, Occitanie, France métropolitaine, 30320, France
0330545N;44.8842379;-0.6111474;Bruges, Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33520, France
0331104W;45.1298707;-0.5076217;Saint-Christoly-de-Blaye, Blaye, Gironde, Nouvelle-Aquitaine, France métropolitaine, France
0080513P;49.4578911;4.1032291;Vieux-lès-Asfeld, Rethel, Ardennes, Grand Est, France métropolitaine, 08190, France
0080755C;50.1032047;4.7625256;Aubrives, Charleville-Mézières, Ardennes, Grand Est, France métropolitaine, 08320, France
0081101D;49.4330247;4.0534287;Brienne-sur-Aisne, Rethel, Ardennes, Grand Est, France métropolitaine, 08190, France
0090070C;42.7731821;1.51365726343815;Vicdessos, Val-de-Sos, Foix, Ariège, Occitanie, France métropolitaine, 09220, France
0500448R;49.28282425;-1.53963994128265;La Haye-du-Puits, La Haye, Coutances, Manche, Normandie, France métropolitaine, 50250, France
0500764J;49.1912371;-1.1912143097844;Le Hommet-d'Arthenay, Pont-Hébert, Saint-Lô, Manche, Normandie, France métropolitaine, 50620, France
0501034C;49.68706625;-1.40794853093579;Cosqueville, Vicq-sur-Mer, Cherbourg, Manche, Normandie, France métropolitaine, 50330, France
0920449N;48.9026;2.30551;Clichy, Arrondissement de Nanterre, Hauts-de-Seine, Île-de-France, France métropolitaine, 92110, France
0511414K;49.2577886;4.031926;Reims, Marne, Grand Est, France métropolitaine, 51100, France
0511518Y;49.2854977;3.8165964;Jonchery-sur-Vesle, Reims, Marne, Grand Est, France métropolitaine, 51140, France
