2015-2016;2016-2017;2017-2018;Académie;Adresse;Appellation officielle;Code département;Code postal;Commune;Département;Etat établissement;Latitude;Lieu dit;Longitude;Nombre d'élèves 2015-2016;Nombre d'élèves 2016-2017;Nombre d'élèves 2017-2018;Numéro d'école;Patronyme uai;Secteur d'enseignement;code région;libellé région;POPULATION;Inférieur à 500 hab ?;Inférieur à 2000 habs;Inférieur à 10000 habs
yes;no;no;DIJON;Le bourg;Ecole primaire de Saint-Pierre-du-Mont;;58210.0;Saint-Pierre-du-Mont;;;;;;15.0;;;0580295F;;PUBLIC;27;Bourgogne-et-Franche-Comté;202;1;1;1
yes;yes;no;LILLE;25 rue Carion;Ecole élémentaire Charles Carion;;59330.0;Hautmont;;;;;;110.0;107.0;;0591351Y;;PUBLIC;32;Hauts-de-France;14271;0;0;0
yes;yes;no;LILLE;9 place Philippe de Girard;Ecole maternelle Gounod;;59800.0;Lille;;;;;;99.0;95.0;;0591636H;;PUBLIC;32;Hauts-de-France;231491;0;0;0
yes;yes;no;NANCY-METZ;14 Grande rue;Ecole élémentaire d'Hablainville;;54120.0;Hablainville;;;;;;14.0;19.0;;0540494U;;PUBLIC;44;Grand-Est;217;1;1;1
yes;yes;no;NANCY-METZ;29 rue de Montigny;Ecole de Merviller;;54120.0;Merviller;;;;;;21.0;13.0;;0540754B;;PUBLIC;44;Grand-Est;377;1;1;1
yes;no;no;POITIERS;20 boulevard de l'Atlantique;Ecole maternelle Groupe scolaire Jean Zay;;79000.0;Niort;;;;;;106.0;;;0790186Y;;PUBLIC;75;Nouvelle-Aquitaine;57393;0;0;0
yes;no;no;ROUEN;Rue de Beaumont;Ecole élémentaire Jean de la Fontaine;;76740.0;Sotteville-sur-Mer;;;;;;15.0;;;0761411W;;PUBLIC;28;Normandie;361;1;1;1
yes;no;no;ROUEN;238 Pl de la Presle;Ecole élémentaire de Beaubec-la-Rosière;;76440.0;Beaubec-la-Rosière;;;;;;21.0;;;0761415A;;PUBLIC;28;Normandie;488;1;1;1
yes;no;no;NANTES;Boulevard d'Andigne;Ecole élémentaire groupe scolaire Jean de la Fontaine;;53200.0;Château-Gontier;;;;;;143.0;;;0530910B;;PUBLIC;52;Pays-de-la-Loire;11582;0;0;0
yes;yes;no;NANCY-METZ;1 Ruelle de l'Ecole;Ecole élémentaire de Chardogne;;55000.0;Chardogne;;;;;;16.0;14.0;;0550206A;;PUBLIC;44;Grand-Est;316;1;1;1
yes;yes;no;NANCY-METZ;Chemin de Pilviteuil;Ecole maternelle d'application Jean Errard;;55000.0;Bar-le-Duc;;;;;;97.0;88.0;;0550229A;;PUBLIC;44;Grand-Est;15950;0;0;0
yes;yes;no;NANCY-METZ;64 Grande rue;Ecole de Demange-aux-Eaux;;55130.0;Demange-aux-Eaux;;;;;;41.0;31.0;;0550488G;;PUBLIC;44;Grand-Est;523;0;1;1
yes;yes;no;NANCY-METZ;Place des Chanoines;Ecole maternelle du Château;;55200.0;Commercy;;;;;;72.0;68.0;;0550508D;;PUBLIC;44;Grand-Est;6220;0;0;1
yes;no;no;ROUEN;69 rue de Soquence;Ecole maternelle Paul et Virginie;;76600.0;Le Havre;;;;;;79.0;;;0762076U;;PUBLIC;28;Normandie;172074;0;0;0
yes;yes;no;ROUEN;Avenue Charles de Gaulle;Ecole maternelle Jules collet;;76290.0;Montivilliers;;;;;;98.0;87.0;;0762146V;;PUBLIC;28;Normandie;16198;0;0;0
yes;no;no;ROUEN;127 rue de Saint Vaast;Ecole maternelle l'Arbre Qui Chante;;76950.0;Les Grandes-Ventes;;;;;;69.0;;;0762342H;;PUBLIC;28;Normandie;1778;0;1;1
